year,site,lat,lon,strength_gtex
1980,"Altus, OK",34.6378,-99.334,25.32304737365894
1982,"Altus, OK",34.6378,-99.334,26.911631858841236
1983,"Altus, OK",34.6378,-99.334,28.632311983168407
1984,"Altus, OK",34.6378,-99.334,28.188070297811855
1985,"Altus, OK",34.6378,-99.334,29.824433934175495
1986,"Altus, OK",34.6378,-99.334,28.960797570539135
1987,"Altus, OK",34.6378,-99.334,27.411772030461034
1988,"Altus, OK",34.6378,-99.334,25.41934778803681
1990,"Altus, OK",34.6378,-99.334,29.61232326134772
1993,"Altus, OK",34.6378,-99.334,28.12622235387988
1994,"Altus, OK",34.6378,-99.334,31.560121569251187
1996,"Altus, OK",34.6378,-99.334,26.523886592025303
1999,"Altus, OK",34.6378,-99.334,34.339569233386605
2000,"Altus, OK",34.6378,-99.334,33.762646156463504
2001,"Altus, OK",34.6378,-99.334,30.49341538723275
2002,"Altus, OK",34.6378,-99.334,35.327720430358845
2007,"Altus, OK",34.6378,-99.334,31.402752586089832
2009,"Altus, OK",34.6378,-99.334,33.39057637840507
2016,"Altus, OK",34.6378,-99.334,32.75057574999592
2017,"Altus, OK",34.6378,-99.334,35.64121587374276
2018,"Altus, OK",34.6378,-99.334,33.90562669698461
1980,"Ames Plantation, TN",35.1151,-89.2157,27.165754098710792
1984,"Anthony, NM",32.004,-106.6058,23.839356679075973
1980,"Artesia, NM",32.8423,-104.4033,26.042849445509543
1981,"Artesia, NM",32.8423,-104.4033,27.87116934166326
1983,"Artesia, NM",32.8423,-104.4033,27.12273597904633
1986,"Artesia, NM",32.8423,-104.4033,31.60776336948721
1987,"Artesia, NM",32.8423,-104.4033,24.850496528559287
1989,"Artesia, NM",32.8423,-104.4033,27.191750442567436
1990,"Artesia, NM",32.8423,-104.4033,28.75501773364122
1991,"Artesia, NM",32.8423,-104.4033,23.300094366559374
1992,"Artesia, NM",32.8423,-104.4033,28.546504340020658
1993,"Artesia, NM",32.8423,-104.4033,28.400122458176966
1996,"Artesia, NM",32.8423,-104.4033,30.54160562487086
1998,"Artesia, NM",32.8423,-104.4033,28.73415293583018
2001,"Artesia, NM",32.8423,-104.4033,30.46609737434983
1980,"Auburn, AL",32.6099,-85.4808,24.844325527282233
1981,"Auburn, AL",32.6099,-85.4808,28.346677097876977
1983,"Auburn, AL",32.6099,-85.4808,28.672799473019367
1985,"Auburn, AL",32.6099,-85.4808,26.24497237658432
1990,"Auburn, AL",32.6099,-85.4808,28.25625878279216
1991,"Auburn, AL",32.6099,-85.4808,27.685659744440382
1994,"Auburn, AL",32.6099,-85.4808,31.801899305546524
1995,"Auburn, AL",32.6099,-85.4808,31.43292024819615
1998,"Auburn, AL",32.6099,-85.4808,30.445613613613965
2000,"Auburn, AL",32.6099,-85.4808,34.43400589985338
2002,"Auburn, AL",32.6099,-85.4808,33.415719326793145
2004,"Auburn, AL",32.6099,-85.4808,30.12948618190235
2005,"Auburn, AL",32.6099,-85.4808,29.977410715669535
2006,"Auburn, AL",32.6099,-85.4808,32.581632604251304
2007,"Auburn, AL",32.6099,-85.4808,28.116168143039474
2008,"Auburn, AL",32.6099,-85.4808,34.85957084144556
2009,"Auburn, AL",32.6099,-85.4808,29.069470820329094
2010,"Auburn, AL",32.6099,-85.4808,32.13047094663853
2012,"Auburn, AL",32.6099,-85.4808,33.090107549564294
1980,"Beeville, TX",28.4008,-97.7483,24.481075175619317
1982,"Beeville, TX",28.4008,-97.7483,25.891734489894453
1983,"Beeville, TX",28.4008,-97.7483,25.14173448989446
1985,"Beeville, TX",28.4008,-97.7483,25.954398206229556
1986,"Beeville, TX",28.4008,-97.7483,26.439821942662565
1988,"Beeville, TX",28.4008,-97.7483,22.57029313537033
1989,"Beeville, TX",28.4008,-97.7483,28.697565862643053
1990,"Beeville, TX",28.4008,-97.7483,32.46353577562333
1991,"Beeville, TX",28.4008,-97.7483,29.720678632766173
1993,"Beeville, TX",28.4008,-97.7483,27.530725956149645
1995,"Beeville, TX",28.4008,-97.7483,28.99739262281633
1996,"Beeville, TX",28.4008,-97.7483,31.31289852169529
1999,"Beeville, TX",28.4008,-97.7483,29.841138034971657
2001,"Beeville, TX",28.4008,-97.7483,33.39669359052721
2006,"Beeville, TX",28.4008,-97.7483,32.702385449527426
2007,"Beeville, TX",28.4008,-97.7483,31.313496560638544
2009,"Beeville, TX",28.4008,-97.7483,29.439914454022883
2010,"Beeville, TX",28.4008,-97.7483,32.523783990883956
2011,"Beeville, TX",28.4008,-97.7483,32.368299221653224
2012,"Beeville, TX",28.4008,-97.7483,29.059845191547435
2013,"Beeville, TX",28.4008,-97.7483,29.134845559004084
2014,"Beeville, TX",28.4008,-97.7483,32.188067596340126
1980,"Belle Mina, AL",34.6568,-86.8792,28.09459218286253
1981,"Belle Mina, AL",34.6568,-86.8792,27.00574117483393
1982,"Belle Mina, AL",34.6568,-86.8792,29.03390254146204
1986,"Belle Mina, AL",34.6568,-86.8792,29.282207373733087
1988,"Belle Mina, AL",34.6568,-86.8792,22.817024191838005
1989,"Belle Mina, AL",34.6568,-86.8792,30.425956050525365
1992,"Belle Mina, AL",34.6568,-86.8792,29.24349556921228
1993,"Belle Mina, AL",34.6568,-86.8792,28.625696196921098
1995,"Belle Mina, AL",34.6568,-86.8792,31.66391559094522
1996,"Belle Mina, AL",34.6568,-86.8792,28.492204239438625
1997,"Belle Mina, AL",34.6568,-86.8792,32.92568019444216
1998,"Belle Mina, AL",34.6568,-86.8792,31.767754759847083
2000,"Belle Mina, AL",34.6568,-86.8792,32.39789607472052
2002,"Belle Mina, AL",34.6568,-86.8792,34.52024112573647
2003,"Belle Mina, AL",34.6568,-86.8792,31.418697079965867
2004,"Belle Mina, AL",34.6568,-86.8792,28.5739219513284
2005,"Belle Mina, AL",34.6568,-86.8792,29.704214834604254
2007,"Belle Mina, AL",34.6568,-86.8792,24.568885919116113
2010,"Belle Mina, AL",34.6568,-86.8792,33.526587402010506
2011,"Belle Mina, AL",34.6568,-86.8792,35.11075904761118
2018,"Belle Mina, AL",34.6568,-86.8792,32.662438414433495
1980,"Bossier City, LA",32.516,-93.7321,25.881075175619333
1981,"Bossier City, LA",32.516,-93.7321,27.579234489894446
1982,"Bossier City, LA",32.516,-93.7321,27.329234489894453
1983,"Bossier City, LA",32.516,-93.7321,28.95423448989445
1985,"Bossier City, LA",32.516,-93.7321,29.17662042845178
1986,"Bossier City, LA",32.516,-93.7321,30.252321942662572
1987,"Bossier City, LA",32.516,-93.7321,28.699081014158203
1988,"Bossier City, LA",32.516,-93.7321,22.86120222627943
1989,"Bossier City, LA",32.516,-93.7321,27.86120222627944
